state_fips_code,county_fips_code,postal_code,name,poverty_estimate_all_ages,90_ci_lower_bound,90_ci_upper_bound,poverty_percent_all_ages,90_ci_lower_bound_2,90_ci_upper_bound_2,median_household_income,90_ci_lower_bound_3,90_ci_upper_bound_3
19,53,IA,Decatur County,1586,1264,1908,21.3,17,25.6,36742,32902,40582
19,55,IA,Delaware County,1532,1174,1890,8.9,6.8,11,55958,50285,61631
19,57,IA,Des Moines County,6208,5163,7253,15.7,13,18.4,45292,41835,48749
19,59,IA,Dickinson County,1234,937,1531,7.4,5.6,9.2,56551,52618,60484
19,61,IA,Dubuque County,10654,9056,12252,11.5,9.8,13.2,55320,51847,58793
19,63,IA,Emmet County,1074,832,1316,11.3,8.8,13.8,47342,42691,51993
19,65,IA,Fayette County,2807,2306,3308,14.4,11.8,17,45522,42384,48660
19,67,IA,Floyd County,2010,1598,2422,12.7,10.1,15.3,48292,43306,53278
19,69,IA,Franklin County,1234,977,1491,12.1,9.6,14.6,51045,46508,55582
19,71,IA,Fremont County,804,630,978,11.7,9.2,14.2,54154,48876,59432
19,73,IA,Greene County,1192,968,1416,13.2,10.7,15.7,49125,44490,53760
19,75,IA,Grundy County,812,643,981,6.7,5.3,8.1,61215,55567,66863
19,77,IA,Guthrie County,1304,1085,1523,12.4,10.3,14.5,49507,44957,54057
19,79,IA,Hamilton County,1400,1063,1737,9.4,7.1,11.7,53691,50487,56895
19,81,IA,Hancock County,914,706,1122,8.4,6.5,10.3,57682,53658,61706
19,83,IA,Hardin County,1916,1489,2343,11.7,9.1,14.3,53277,49638,56916
19,85,IA,Harrison County,1540,1224,1856,11,8.8,13.2,52824,48266,57382
19,87,IA,Henry County,2487,1983,2991,13.3,10.6,16,50347,46117,54577
19,89,IA,Howard County,1124,888,1360,12.1,9.6,14.6,49837,45556,54118
19,91,IA,Humboldt County,956,746,1166,10.1,7.9,12.3,49696,44672,54720
19,93,IA,Ida County,754,592,916,10.9,8.6,13.2,53905,48815,58995
19,95,IA,Iowa County,1211,950,1472,7.5,5.9,9.1,58234,52935,63533
19,97,IA,Jackson County,2172,1705,2639,11.3,8.9,13.7,50299,46993,53605
19,99,IA,Jasper County,3923,3233,4613,11.2,9.2,13.2,52750,48464,57036
19,101,IA,Jefferson County,2673,2111,3235,16.9,13.3,20.5,41094,36776,45412
19,103,IA,Johnson County,21391,19299,23483,15.9,14.3,17.5,59946,55972,63920
19,105,IA,Jones County,2232,1845,2619,11.6,9.6,13.6,51558,47573,55543
19,107,IA,Keokuk County,1362,1090,1634,13.5,10.8,16.2,48316,43514,53118
19,109,IA,Kossuth County,1442,1123,1761,9.6,7.5,11.7,52967,47903,58031
19,111,IA,Lee County,5991,5071,6911,17.7,15,20.4,44719,40825,48613
19,113,IA,Linn County,19779,16784,22774,9.3,7.9,10.7,62700,60108,65292
19,115,IA,Louisa County,1216,958,1474,11.1,8.8,13.4,50924,46947,54901
19,117,IA,Lucas County,1376,1078,1674,16,12.5,19.5,42582,38610,46554
19,119,IA,Lyon County,906,701,1111,7.9,6.1,9.7,61750,57017,66483
19,121,IA,Madison County,1357,1077,1637,8.8,7,10.6,62230,57291,67169
19,123,IA,Mahaska County,2797,2256,3338,12.9,10.4,15.4,48584,44316,52852
19,125,IA,Marion County,3538,2968,4108,11.1,9.3,12.9,57046,52615,61477
19,127,IA,Marshall County,5113,3992,6234,13,10.1,15.9,50244,47752,52736
19,129,IA,Mills County,1384,1075,1693,9.7,7.5,11.9,59399,54700,64098
19,131,IA,Mitchell County,1209,962,1456,11.5,9.2,13.8,52616,47682,57550
19,133,IA,Monona County,1254,997,1511,14.3,11.4,17.2,43178,38990,47366
19,135,IA,Monroe County,916,699,1133,11.7,8.9,14.5,44705,40715,48695
19,137,IA,Montgomery County,1961,1699,2223,19.3,16.7,21.9,42046,37928,46164
19,139,IA,Muscatine County,4799,3792,5806,11.4,9,13.8,54441,50805,58077
19,141,IA,O'Brien County,1417,1137,1697,10.3,8.3,12.3,55968,52137,59799
19,143,IA,Osceola County,557,427,687,9.1,7,11.2,51423,46116,56730
19,145,IA,Page County,2056,1598,2514,14.6,11.3,17.9,46927,42571,51283
19,147,IA,Palo Alto County,1001,783,1219,11.5,9,14,50600,45601,55599
19,149,IA,Plymouth County,1863,1452,2274,7.6,5.9,9.3,62745,56664,68826
19,151,IA,Pocahontas County,897,726,1068,12.9,10.4,15.4,49625,45131,54119
19,153,IA,Polk County,58971,53921,64021,13.1,12,14.2,61028,59337,62719
19,155,IA,Pottawattamie County,11120,9274,12966,12.3,10.3,14.3,51947,47943,55951
19,157,IA,Poweshiek County,2063,1678,2448,12.1,9.8,14.4,52791,47708,57874
19,159,IA,Ringgold County,804,633,975,16.6,13.1,20.1,42854,38850,46858
19,161,IA,Sac County,1060,833,1287,10.8,8.5,13.1,49513,47176,51850
19,163,IA,Scott County,20437,17422,23452,12.2,10.4,14,54959,52796,57122
19,165,IA,Shelby County,1118,889,1347,9.6,7.6,11.6,55637,49922,61352
19,167,IA,Sioux County,2405,1904,2906,7.5,5.9,9.1,60205,56981,63429
19,169,IA,Story County,16276,14826,17726,19.5,17.8,21.2,52128,47492,56764
19,171,IA,Tama County,2210,1827,2593,12.9,10.7,15.1,54957,51909,58005
19,173,IA,Taylor County,793,616,970,13.1,10.2,16,46501,42228,50774
19,175,IA,Union County,1560,1216,1904,12.8,10,15.6,44905,41841,47969
19,177,IA,Van Buren County,1063,820,1306,14.4,11.1,17.7,42555,38411,46699
19,179,IA,Wapello County,5709,4644,6774,16.7,13.6,19.8,42414,39178,45650
19,181,IA,Warren County,2925,2244,3606,6.3,4.8,7.8,67342,62602,72082
19,183,IA,Washington County,2210,1759,2661,10.2,8.1,12.3,56243,52392,60094
19,185,IA,Wayne County,1050,834,1266,16.7,13.3,20.1,42006,38169,45843
19,187,IA,Webster County,5550,4689,6411,16.3,13.8,18.8,43490,40577,46403
19,189,IA,Winnebago County,1056,836,1276,10.4,8.2,12.6,50703,46152,55254
19,191,IA,Winneshiek County,1747,1336,2158,9.4,7.2,11.6,55984,52028,59940
19,193,IA,Woodbury County,15151,12695,17607,15.2,12.7,17.7,45641,42823,48459
19,195,IA,Worth County,823,661,985,11,8.8,13.2,50286,45364,55208
19,197,IA,Wright County,1511,1232,1790,12,9.8,14.2,50108,44940,55276
20,0,KS,Kansas,381506,371806,391206,13.5,13.2,13.8,52392,51712,53072
20,1,KS,Allen County,2267,1820,2714,18.2,14.6,21.8,39196,35663,42729
20,3,KS,Anderson County,1107,862,1352,14.3,11.1,17.5,45368,40732,50004
20,5,KS,Atchison County,2666,2130,3202,17.4,13.9,20.9,44199,39663,48735
20,7,KS,Barber County,600,477,723,12.4,9.9,14.9,51676,46516,56836
20,9,KS,Barton County,4739,4067,5411,17.8,15.3,20.3,46942,42490,51394
20,11,KS,Bourbon County,2637,2091,3183,18.4,14.6,22.2,38430,34538,42322
20,13,KS,Brown County,1680,1364,1996,17.3,14,20.6,45781,42026,49536
20,15,KS,Butler County,7194,5937,8451,11.3,9.3,13.3,60123,55660,64586
20,17,KS,Chase County,334,262,406,13.2,10.4,16,47025,41986,52064
20,19,KS,Chautauqua County,555,437,673,16.4,12.9,19.9,39120,35082,43158
20,21,KS,Cherokee County,3573,2807,4339,17.4,13.7,21.1,40686,37990,43382
20,23,KS,Cheyenne County,303,234,372,11.5,8.9,14.1,41797,37642,45952
20,25,KS,Clark County,270,211,329,13,10.2,15.8,47650,42576,52724
20,27,KS,Clay County,887,688,1086,10.9,8.5,13.3,53131,48918,57344
20,29,KS,Cloud County,1250,993,1507,14,11.1,16.9,42697,38794,46600
20,31,KS,Coffey County,905,734,1076,10.9,8.8,13,55705,50037,61373
20,33,KS,Comanche County,213,164,262,11.4,8.8,14,45353,40654,50052
20,35,KS,Cowley County,5086,4083,6089,15,12,18,45180,41483,48877
20,37,KS,Crawford County,7764,6624,8904,20.8,17.8,23.8,38491,35365,41617
20,39,KS,Decatur County,389,306,472,13.9,10.9,16.9,41434,37167,45701
20,41,KS,Dickinson County,2115,1728,2502,11.1,9.1,13.1,47493,43163,51823
20,43,KS,Doniphan County,1109,888,1330,15,12,18,47599,42877,52321
20,45,KS,Douglas County,20961,19006,22916,19.4,17.6,21.2,49246,46181,52311
20,47,KS,Edwards County,314,243,385,10.5,8.1,12.9,49256,45554,52958
20,49,KS,Elk County,461,359,563,17.4,13.5,21.3,36471,32803,40139
20,51,KS,Ellis County,3646,2992,4300,13,10.7,15.3,49508,44906,54110
20,53,KS,Ellsworth County,670,542,798,12.4,10,14.8,46961,42209,51713
20,55,KS,Finney County,6871,5899,7843,18.8,16.1,21.5,48609,44756,52462
20,57,KS,Ford County,5106,4202,6010,15,12.3,17.7,51144,46358,55930
20,59,KS,Franklin County,3328,2696,3960,13.3,10.8,15.8,50745,47076,54414
20,61,KS,Geary County,4966,4165,5767,13.9,11.7,16.1,41193,38359,44027
20,63,KS,Gove County,277,216,338,10.4,8.1,12.7,50886,47686,54086
20,65,KS,Graham County,304,234,374,12,9.2,14.8,45341,40576,50106
20,67,KS,Grant County,844,650,1038,10.9,8.4,13.4,60279,55456,65102
20,69,KS,Gray County,497,388,606,8.3,6.5,10.1,58543,53025,64061
20,71,KS,Greeley County,138,108,168,10.8,8.5,13.1,52795,47352,58238
20,73,KS,Greenwood County,1048,846,1250,16.9,13.6,20.2,39732,35766,43698
20,75,KS,Hamilton County,333,260,406,12.8,10,15.6,47709,42995,52423
20,77,KS,Harper County,733,564,902,12.9,9.9,15.9,50525,46734,54316
20,79,KS,Harvey County,4265,3646,4884,12.8,11,14.6,55074,50212,59936
20,81,KS,Haskell County,436,342,530,10.7,8.4,13,59596,54017,65175
20,83,KS,Hodgeman County,166,128,204,8.8,6.8,10.8,52394,47098,57690
20,85,KS,Jackson County,1377,1069,1685,10.3,8,12.6,53796,49175,58417
20,87,KS,Jefferson County,1745,1373,2117,9.4,7.4,11.4,56927,52980,60874
20,89,KS,Jewell County,407,323,491,13.5,10.7,16.3,44101,39911,48291
20,91,KS,Johnson County,37315,33209,41421,6.6,5.9,7.3,76104,73905,78303
20,93,KS,Kearny County,465,362,568,12.2,9.5,14.9,53484,48498,58470
20,95,KS,Kingman County,836,643,1029,11.2,8.6,13.8,53378,48508,58248
20,97,KS,Kiowa County,302,238,366,12.8,10.1,15.5,46318,41773,50863
20,99,KS,Labette County,3754,3058,4450,18.3,14.9,21.7,40822,37782,43862
20,101,KS,Lane County,183,144,222,10.9,8.6,13.2,53739,47997,59481
20,103,KS,Leavenworth County,7856,6515,9197,10.9,9,12.8,65549,61607,69491
20,105,KS,Lincoln County,395,312,478,12.7,10,15.4,44896,40379,49413
20,107,KS,Linn County,1388,1089,1687,14.8,11.6,18,44520,39901,49139
20,109,KS,Logan County,266,211,321,9.7,7.7,11.7,49852,44586,55118
20,111,KS,Lyon County,5721,4719,6723,18,14.8,21.2,43038,40201,45875
20,113,KS,McPherson County,2478,1957,2999,8.8,7,10.6,57878,53577,62179
20,115,KS,Marion County,1360,1102,1618,11.9,9.7,14.1,47723,43195,52251
20,117,KS,Marshall County,1094,868,1320,11.1,8.8,13.4,47901,43386,52416
20,119,KS,Meade County,494,407,581,11.7,9.6,13.8,53903,48125,59681
20,121,KS,Miami County,3061,2491,3631,9.5,7.7,11.3,63924,59020,68828
20,123,KS,Mitchell County,674,532,816,11.2,8.8,13.6,48645,43481,53809
20,125,KS,Montgomery County,5888,4832,6944,18,14.8,21.2,42221,39295,45147
20,127,KS,Morris County,703,550,856,12.5,9.8,15.2,44774,40340,49208
20,129,KS,Morton County,335,261,409,11.1,8.7,13.5,55378,49473,61283
20,131,KS,Nemaha County,974,788,1160,9.9,8,11.8,54149,49133,59165
20,133,KS,Neosho County,2804,2268,3340,17.7,14.3,21.1,41527,38490,44564
20,135,KS,Ness County,301,233,369,10,7.7,12.3,51923,46581,57265
20,137,KS,Norton County,639,492,786,13.5,10.4,16.6,44846,40404,49288
20,139,KS,Osage County,2021,1644,2398,12.9,10.5,15.3,52749,49794,55704
20,141,KS,Osborne County,470,368,572,12.9,10.1,15.7,38848,35791,41905
20,143,KS,Ottawa County,620,494,746,10.4,8.3,12.5,52744,47518,57970
20,145,KS,Pawnee County,817,632,1002,13.9,10.8,17,47351,42297,52405
20,147,KS,Phillips County,621,476,766,11.4,8.7,14.1,45856,41534,50178
20,149,KS,Pottawatomie County,2262,1850,2674,10,8.2,11.8,65373,62649,68097
20,151,KS,Pratt County,974,760,1188,10.3,8,12.6,54701,49886,59516
20,153,KS,Rawlins County,299,232,366,11.8,9.2,14.4,44932,40398,49466
20,155,KS,Reno County,9577,7922,11232,15.8,13.1,18.5,46533,43389,49677
20,157,KS,Republic County,594,474,714,12.7,10.1,15.3,42381,38071,46691
20,159,KS,Rice County,1369,1114,1624,14.7,12,17.4,49152,44250,54054
20,161,KS,Riley County,13379,11821,14937,20.2,17.8,22.6,46468,42736,50200
20,163,KS,Rooks County,608,477,739,12,9.4,14.6,48383,45192,51574
20,165,KS,Rush County,379,291,467,12.1,9.3,14.9,43083,38745,47421
20,167,KS,Russell County,913,704,1122,13.3,10.3,16.3,45443,41923,48963
20,169,KS,Saline County,7044,5737,8351,13,10.6,15.4,48460,46508,50412
20,171,KS,Scott County,411,319,503,8.3,6.4,10.2,56032,50226,61838
20,173,KS,Sedgwick County,73532,68321,78743,14.7,13.7,15.7,51175,49544,52806
20,175,KS,Seward County,3617,2952,4282,15.7,12.8,18.6,47381,43424,51338
20,177,KS,Shawnee County,26058,22840,29276,15,13.2,16.8,52795,49968,55622
20,179,KS,Sheridan County,273,211,335,10.9,8.4,13.4,52300,47158,57442
20,181,KS,Sherman County,968,761,1175,16.2,12.7,19.7,43100,38770,47430
20,183,KS,Smith County,500,406,594,13.5,10.9,16.1,41303,37287,45319
20,185,KS,Stafford County,594,484,704,14.1,11.5,16.7,45945,41525,50365
20,187,KS,Stanton County,236,184,288,11.5,9,14,56591,50490,62692
20,189,KS,Stevens County,554,431,677,9.7,7.6,11.8,59773,53657,65889
20,191,KS,Sumner County,3064,2497,3631,13.3,10.8,15.8,52476,47869,57083
20,193,KS,Thomas County,851,675,1027,11.3,9,13.6,50639,45268,56010
20,195,KS,Trego County,279,217,341,9.9,7.7,12.1,46859,42384,51334
20,197,KS,Wabaunsee County,666,518,814,9.6,7.5,11.7,59160,53368,64952
20,199,KS,Wallace County,178,139,217,12,9.4,14.6,49109,43849,54369
20,201,KS,Washington County,590,472,708,10.8,8.7,12.9,43264,39940,46588
20,203,KS,Wichita County,246,192,300,11.5,9,14,53447,47744,59150
20,205,KS,Wilson County,1478,1167,1789,16.7,13.2,20.2,39764,36022,43506
20,207,KS,Woodson County,569,466,672,18.4,15.1,21.7,35502,31865,39139
20,209,KS,Wyandotte County,39074,35416,42732,24.4,22.1,26.7,37087,35495,38679
21,0,KY,Kentucky,812803,797212,828394,19,18.6,19.4,42914,42243,43585
21,1,KY,Adair County,4644,3734,5554,26.3,21.2,31.4,31558,28365,34751
21,3,KY,Allen County,3816,2989,4643,19,14.9,23.1,39801,35745,43857
21,5,KY,Anderson County,2450,1937,2963,11.3,8.9,13.7,54331,49557,59105
21,7,KY,Ballard County,1359,1112,1606,16.8,13.7,19.9,44732,40900,48564
21,9,KY,Barren County,8247,6640,9854,19.5,15.7,23.3,37666,35141,40191
21,11,KY,Bath County,2733,2154,3312,22.7,17.9,27.5,34126,30979,37273
21,13,KY,Bell County,8955,7272,10638,33.5,27.2,39.8,24868,22522,27214
21,15,KY,Boone County,10009,8085,11933,8,6.5,9.5,66939,62353,71525
21,17,KY,Bourbon County,3774,3132,4416,19.2,15.9,22.5,42812,39481,46143
21,19,KY,Boyd County,10705,9265,12145,23.1,20,26.2,40224,37466,42982
21,21,KY,Boyle County,4627,3683,5571,17.5,13.9,21.1,41538,37818,45258
21,23,KY,Bracken County,1540,1271,1809,18.6,15.4,21.8,41910,37565,46255
21,25,KY,Breathitt County,4340,3527,5153,33,26.8,39.2,28647,25943,31351
21,27,KY,Breckinridge County,3740,2970,4510,19.2,15.2,23.2,41547,37581,45513
21,29,KY,Bullitt County,9474,8104,10844,12.3,10.5,14.1,54924,51662,58186
21,31,KY,Butler County,2596,2117,3075,20.6,16.8,24.4,35219,32926,37512
21,33,KY,Caldwell County,2282,1779,2785,18.2,14.2,22.2,42640,39208,46072
21,35,KY,Calloway County,7052,5770,8334,20.2,16.5,23.9,37705,34805,40605
21,37,KY,Campbell County,11724,9882,13566,13.2,11.1,15.3,52349,48664,56034
21,39,KY,Carlisle County,833,660,1006,17,13.5,20.5,40701,37043,44359
21,41,KY,Carroll County,2139,1748,2530,20.4,16.7,24.1,43615,39028,48202
21,43,KY,Carter County,6322,5130,7514,23.9,19.4,28.4,34991,32222,37760
21,45,KY,Casey County,4699,3874,5524,30.6,25.2,36,29344,26331,32357
21,47,KY,Christian County,14868,12798,16938,21.6,18.6,24.6,36736,34427,39045
21,49,KY,Clark County,5615,4576,6654,16,13,19,49012,45830,52194
21,51,KY,Clay County,7267,5843,8691,38.2,30.7,45.7,25215,22832,27598
21,53,KY,Clinton County,2565,2006,3124,25.7,20.1,31.3,28341,25335,31347
21,55,KY,Crittenden County,1823,1443,2203,20.3,16.1,24.5,38338,34371,42305
21,57,KY,Cumberland County,1841,1467,2215,27.8,22.2,33.4,29067,26024,32110
21,59,KY,Daviess County,14370,12098,16642,15,12.6,17.4,43390,40519,46261
21,61,KY,Edmonson County,2366,1876,2856,19.9,15.8,24,38544,35105,41983
21,63,KY,Elliott County,2133,1699,2567,32.4,25.8,39,30556,27524,33588
21,65,KY,Estill County,4254,3487,5021,29.8,24.4,35.2,30333,27145,33521
21,67,KY,Fayette County,59007,54573,63441,19.8,18.3,21.3,48552,45941,51163
21,69,KY,Fleming County,2795,2190,3400,19.3,15.1,23.5,35878,32291,39465
21,71,KY,Floyd County,11702,9951,13453,31.1,26.4,35.8,30127,27456,32798
21,73,KY,Franklin County,6184,4814,7554,12.9,10.1,15.7,49400,45376,53424
21,75,KY,Fulton County,1812,1456,2168,31.2,25.1,37.3,30671,27399,33943
21,77,KY,Gallatin County,1419,1109,1729,16.7,13.1,20.3,45483,41404,49562
21,79,KY,Garrard County,3004,2417,3591,18,14.5,21.5,43647,39998,47296
21,81,KY,Grant County,4103,3239,4967,16.9,13.3,20.5,46226,42209,50243
21,83,KY,Graves County,6550,5371,7729,17.7,14.5,20.9,39247,37151,41343
21,85,KY,Grayson County,5488,4435,6541,21.7,17.5,25.9,35726,32180,39272
21,87,KY,Green County,2339,1865,2813,21.5,17.1,25.9,33640,30073,37207
21,89,KY,Greenup County,5846,4743,6949,16.4,13.3,19.5,42452,39829,45075
21,91,KY,Hancock County,1193,945,1441,13.8,10.9,16.7,50358,45283,55433
21,93,KY,Hardin County,14905,12407,17403,14.3,11.9,16.7,50407,46978,53836
21,95,KY,Harlan County,9436,8127,10745,34.2,29.5,38.9,26351,24004,28698
21,97,KY,Harrison County,3386,2866,3906,18.5,15.7,21.3,41406,37570,45242
21,99,KY,Hart County,4200,3350,5050,23,18.4,27.6,38038,35465,40611
21,101,KY,Henderson County,8227,6998,9456,18.1,15.4,20.8,43040,39721,46359
21,103,KY,Henry County,2814,2341,3287,18.3,15.2,21.4,43799,39791,47807
21,105,KY,Hickman County,828,636,1020,18.4,14.1,22.7,41588,37204,45972
21,107,KY,Hopkins County,7594,6124,9064,16.9,13.6,20.2,42477,39695,45259
21,109,KY,Jackson County,3514,2713,4315,26.8,20.7,32.9,29090,26113,32067
21,111,KY,Jefferson County,124850,115792,133908,16.8,15.6,18,48264,46792,49736
21,113,KY,Jessamine County,7190,5858,8522,14.7,12,17.4,51227,47049,55405
21,115,KY,Johnson County,5817,4725,6909,25.6,20.8,30.4,34271,30792,37750
21,117,KY,Kenton County,24923,22288,27558,15.5,13.9,17.1,54728,51029,58427
21,119,KY,Knott County,5113,4206,6020,33.7,27.7,39.7,27709,24991,30427
21,121,KY,Knox County,10824,9146,12502,34.9,29.5,40.3,26048,23747,28349
21,123,KY,Larue County,2486,1965,3007,18,14.2,21.8,40312,36301,44323
21,125,KY,Laurel County,14610,12418,16802,24.7,21,28.4,34678,31744,37612
21,127,KY,Lawrence County,4041,3237,4845,25.9,20.8,31,32835,29536,36134
21,129,KY,Lee County,2292,1760,2824,35,26.9,43.1,25473,22908,28038
21,131,KY,Leslie County,3514,2866,4162,33,26.9,39.1,27777,24815,30739
21,133,KY,Letcher County,6949,5836,8062,30.1,25.3,34.9,28574,25976,31172
21,135,KY,Lewis County,4707,4022,5392,34.4,29.4,39.4,30217,27018,33416
21,137,KY,Lincoln County,6650,5798,7502,27.6,24.1,31.1,35368,32008,38728
21,139,KY,Livingston County,1299,997,1601,14.1,10.8,17.4,42892,38391,47393
21,141,KY,Logan County,4486,3660,5312,16.9,13.8,20,41150,38052,44248
21,143,KY,Lyon County,1108,840,1376,15.4,11.7,19.1,43067,39324,46810
21,145,KY,McCracken County,11214,9336,13092,17.5,14.6,20.4,41216,37433,44999
21,147,KY,McCreary County,7525,6371,8679,47,39.8,54.2,24265,21704,26826
21,149,KY,McLean County,1580,1239,1921,16.9,13.2,20.6,42288,38153,46423
21,151,KY,Madison County,15947,13762,18132,19.7,17,22.4,44358,40358,48358
21,153,KY,Magoffin County,3850,3004,4696,30.2,23.6,36.8,29421,26294,32548
21,155,KY,Marion County,4065,3345,4785,21.8,17.9,25.7,39089,35073,43105
21,157,KY,Marshall County,3977,3201,4753,13.1,10.5,15.7,45596,41679,49513
21,159,KY,Martin County,4401,3567,5235,40.6,32.9,48.3,27484,24519,30449
21,161,KY,Mason County,3115,2428,3802,18.6,14.5,22.7,40260,36050,44470
21,163,KY,Meade County,3616,2848,4384,12.6,9.9,15.3,52377,48392,56362
21,165,KY,Menifee County,1668,1290,2046,27.1,21,33.2,30828,27618,34038
21,167,KY,Mercer County,3720,3122,4318,17.6,14.8,20.4,43945,39969,47921
21,169,KY,Metcalfe County,2484,1984,2984,25.2,20.1,30.3,30460,27362,33558
21,171,KY,Monroe County,2748,2193,3303,26.2,20.9,31.5,30172,27098,33246
21,173,KY,Montgomery County,5620,4704,6536,20.8,17.4,24.2,41139,36899,45379
21,175,KY,Morgan County,3489,2811,4167,30.4,24.5,36.3,30872,27662,34082
21,177,KY,Muhlenberg County,6368,5192,7544,21.6,17.6,25.6,38916,35702,42130
21,179,KY,Nelson County,5618,4455,6781,12.7,10.1,15.3,54540,51405,57675
21,181,KY,Nicholas County,1342,1054,1630,19.4,15.2,23.6,37061,33147,40975
21,183,KY,Ohio County,4633,3792,5474,19.7,16.1,23.3,38261,34643,41879
21,185,KY,Oldham County,3211,2487,3935,5.5,4.3,6.7,92097,87722,96472
21,187,KY,Owen County,1848,1429,2267,17.4,13.4,21.4,43626,39410,47842
21,189,KY,Owsley County,1984,1611,2357,45.1,36.6,53.6,23047,20554,25540
21,191,KY,Pendleton County,2229,1751,2707,15.6,12.3,18.9,47023,42222,51824
21,193,KY,Perry County,7401,6005,8797,27.5,22.3,32.7,31265,28009,34521
21,195,KY,Pike County,16796,14476,19116,27.4,23.6,31.2,32666,30344,34988
21,197,KY,Powell County,3247,2580,3914,26.7,21.2,32.2,32783,29448,36118
21,199,KY,Pulaski County,16338,14385,18291,26,22.9,29.1,32767,30550,34984
21,201,KY,Robertson County,492,386,598,23,18,28,37281,33267,41295
21,203,KY,Rockcastle County,3956,3177,4735,24.1,19.4,28.8,33789,30650,36928
21,205,KY,Rowan County,4953,3849,6057,23.4,18.2,28.6,37287,33544,41030
21,207,KY,Russell County,4608,3807,5409,26.3,21.7,30.9,33623,31411,35835
21,209,KY,Scott County,5406,4328,6484,10.9,8.7,13.1,61989,57808,66170
21,211,KY,Shelby County,5548,4503,6593,12.8,10.4,15.2,57447,52865,62029
21,213,KY,Simpson County,2610,2050,3170,15,11.8,18.2,45269,41060,49478
21,215,KY,Spencer County,1545,1201,1889,8.8,6.8,10.8,67437,60600,74274
21,217,KY,Taylor County,6333,5449,7217,26.7,23,30.4,34633,31156,38110
21,219,KY,Todd County,2368,1847,2889,19.3,15.1,23.5,40002,35840,44164
21,221,KY,Trigg County,2218,1719,2717,15.8,12.2,19.4,44676,40398,48954
21,223,KY,Trimble County,1408,1110,1706,16.2,12.8,19.6,46708,41732,51684
21,225,KY,Union County,2832,2307,3357,18.9,15.4,22.4,44119,39965,48273
21,227,KY,Warren County,20900,18248,23552,18.3,16,20.6,48925,46093,51757
21,229,KY,Washington County,2284,1951,2617,19.7,16.8,22.6,39983,35868,44098
21,231,KY,Wayne County,5252,4116,6388,26.2,20.5,31.9,30619,28401,32837
21,233,KY,Webster County,2220,1802,2638,17.3,14,20.6,43024,38913,47135
21,235,KY,Whitley County,10097,8476,11718,29.8,25,34.6,31086,28369,33803
21,237,KY,Wolfe County,2558,2061,3055,36.2,29.2,43.2,25768,23040,28496
21,239,KY,Woodford County,2812,2240,3384,11.2,8.9,13.5,57067,52462,61672
22,0,LA,Louisiana,898902,882243,915561,19.9,19.5,20.3,44680,43971,45389
22,1,LA,Acadia Parish,13527,11335,15719,22,18.4,25.6,40269,36378,44160
22,3,LA,Allen Parish,4832,3929,5735,22.5,18.3,26.7,36852,34825,38879
22,5,LA,Ascension Parish,15873,13554,18192,13.7,11.7,15.7,67299,62671,71927
22,7,LA,Assumption Parish,4067,3154,4980,17.8,13.8,21.8,46317,42592,50042
22,9,LA,Avoyelles Parish,9639,7746,11532,25.5,20.5,30.5,34022,30779,37265
22,11,LA,Beauregard Parish,6559,5515,7603,18.9,15.9,21.9,43918,39865,47971
22,13,LA,Bienville Parish,3704,3087,4321,27.4,22.8,32,33134,29999,36269
22,15,LA,Bossier Parish,17520,14711,20329,14.3,12,16.6,51138,48439,53837
22,17,LA,Caddo Parish,59514,53501,65527,24.1,21.7,26.5,39812,36936,42688
22,19,LA,Calcasieu Parish,35591,31324,39858,18.4,16.2,20.6,45979,43355,48603
22,21,LA,Caldwell Parish,2168,1732,2604,23.3,18.6,28,36350,32600,40100
22,23,LA,Cameron Parish,809,620,998,12.2,9.4,15,59300,55359,63241
22,25,LA,Catahoula Parish,2158,1667,2649,23.3,18,28.6,34116,30742,37490
22,27,LA,Claiborne Parish,3789,2967,4611,28.2,22.1,34.3,35385,31871,38899
22,29,LA,Concordia Parish,5855,4933,6777,30.9,26,35.8,31835,28573,35097
22,31,LA,De Soto Parish,6298,5312,7284,23.5,19.8,27.2,40642,37620,43664
22,33,LA,East Baton Rouge Parish,80273,71984,88562,18.4,16.5,20.3,46831,44520,49142
22,35,LA,East Carroll Parish,2751,2157,3345,43,33.7,52.3,25402,22922,27882
22,37,LA,East Feliciana Parish,3543,2786,4300,20.4,16.1,24.7,41651,37428,45874
22,39,LA,Evangeline Parish,7757,6258,9256,24.1,19.5,28.7,32615,29494,35736
22,41,LA,Franklin Parish,5718,4844,6592,29,24.6,33.4,32318,29180,35456
22,43,LA,Grant Parish,4417,3704,5130,22.8,19.1,26.5,40668,36710,44626
22,45,LA,Iberia Parish,14132,11391,16873,19.4,15.6,23.2,45226,42503,47949
22,47,LA,Iberville Parish,5867,4547,7187,19.9,15.4,24.4,47377,44130,50624
22,49,LA,Jackson Parish,3679,3116,4242,24.6,20.8,28.4,37130,33219,41041
22,51,LA,Jefferson Parish,68333,61395,75271,15.8,14.2,17.4,47024,45245,48803
22,53,LA,Jefferson Davis Parish,6700,5649,7751,21.7,18.3,25.1,37968,34664,41272
22,55,LA,Lafayette Parish,34809,29726,39892,15.1,12.9,17.3,51340,49439,53241
22,57,LA,Lafourche Parish,16903,14778,19028,17.6,15.4,19.8,47382,43328,51436
22,59,LA,La Salle Parish,2447,1933,2961,18,14.2,21.8,44139,39431,48847
